PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate
9nfy7,r5k1/1b1r2p1/p3pP1Q/1p6/5P2/4p1R1/P1q1B1PP/5R1K b - - 0 30,c2e2 g3g7 d7g7 h6g7,1337,76,100,1220,mate mateIn2 middlegame short,https://lichess.org/7v0BBnDx/black#60,,
9pfzJ,r4r2/pR3p1k/2p3Np/2qp1Q2/8/8/P1P3PP/4b2K b - - 2 24,c5f2 g6f8 h7g8 f5h7 g8f8 h7h8,1785,78,93,2752,discoveredCheck doubleCheck long mate mateIn3 middlegame,https://lichess.org/ChikmhUs/black#48,,
9pxga,r4r1k/5Npp/8/p1pQ1p2/4p1nP/1P2P3/P1P1KPP1/7q b - - 3 24,f8f7 d5a8 f7f8 a8f8,1350,82,93,710,endgame hangingPiece kingsideAttack mate mateIn2 short,https://lichess.org/mC1j1Wkt/black#48,,
9qSkQ,1rbq3k/p4Bbp/2p3p1/2p2p2/1P2pN2/PQ6/1B3PPP/6K1 b - - 1 27,d8d6 f4g6 d6g6 f7g6,1702,75,87,154,advantage kingsideAttack master middlegame short,https://lichess.org/lvszxWki/black#54,,
9r4R5,2kr1b1r/ppp1qppp/5n2/3p4/2BQP1b1/2P5/PP1P1PPP/RNB1R1K1 w - - 0 11,c4d3 d5e4 d4a7 d8d3,1692,76,92,6403,advantage discoveredAttack opening short skewer,https://lichess.org/Y3EVMLld#21,Italian_Game Italian_Game_Blackburne-Kostic_Gambit,
9rHvE,3rq1k1/ppp2p2/5p1p/1P6/2PP1n2/N1b2N1P/P4PP1/R2Q1K2 w - - 1 23,a1c1 c3b2 c1b1 b2a3,1706,76,60,127,advantage fork middlegame short,https://lichess.org/97DdJSRP#45,,
9rk4N,4Q3/5ppk/7p/p5q1/3P1n2/1PP2P2/P3RK1P/8 w - - 6 33,e8f7 f4h3 f2e1 g5c1,2237,80,88,306,endgame mate mateIn2 short,https://lichess.org/LyBuT0ux#65,,
9rx7E,1rbq1r1k/6pp/4B3/3P1R2/R1P5/6P1/6PP/3Q2K1 b - - 0 25,c8e6 f5f8 d8f8 d5e6 f8c5 g1h1,1396,77,94,17767,advantage defensiveMove intermezzo long middlegame,https://lichess.org/SnzkmOMu/black#50,,
9sKlE,5rk1/R5bp/3rp3/3bP3/5B2/1P4P1/2P4P/5RK1 w - - 0 38,e5d6 g7d4 f1f2 d4a7,1244,77,87,368,advantage endgame fork pin short,https://lichess.org/5OHUNzt3#75,,
9t1jb,r2r2k1/p4ppp/2p3q1/4pb2/4Nn2/2PP1N2/PP3PPP/R3QRK1 w - - 5 17,f3e5 g6g2,960,80,87,143,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/NgweKBaK#33,Sicilian_Defense Sicilian_Defense_Old_Sicilian,
9tKCG,2k3r1/pp1b4/3pR2p/2pP4/2P1PpBB/2nQ3K/3N3P/q7 w - - 0 30,e6g6 g8g6 g4d7 c8d7 e4e5 a1g1 d3f5 d7c7,2279,89,88,126,advantage defensiveMove hangingPiece middlegame veryLong,https://lichess.org/p7Jgidju#59,,
9u828,r1bqkb1r/ppp2Bpp/2n4n/4ppN1/4p3/1QP5/PP1P1PPP/RNB1K2R b KQkq - 1 7,e8d7 b3e6,857,102,95,350,mate mateIn1 oneMove opening,https://lichess.org/NVIzBLsQ/black#14,Zukertort_Opening Zukertort_Opening_Tennison_Gambit,
9uP6G,8/8/2b5/1k1N2p1/2p3P1/3Q2K1/8/8 w - - 0 73,d5e7 c4d3 g3f2 c6d7,2340,107,89,517,crushing endgame hangingPiece master short,https://lichess.org/3LAWCDDe#145,,
9ud2L,6k1/pp3p1p/6pB/8/1QP1P1b1/1P6/P3n2P/q4K1R w - - 0 27,f1f2 a1f6 f2e1 f6h4 e1d2 h4h6,2047,89,90,2320,crushing endgame exposedKing fork long master masterVsMaster superGM,https://lichess.org/sKPbDfP4#53,,
